observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
YCXGDTM1091047	17	2	YCXGDTM1091047	gnpis.lot:'3023'	91	47	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tVWlFRQg==	Pa405_H	Pa405_H	2013	NA in endpoint							278.1405882353		
YCXGDTM1091047	17	2	YCXGDTM1091047	gnpis.lot:'3023'	91	47	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tVWlFRQg==	Pa405_H	Pa405_H	2013	NA in endpoint		NA							
YCXGDTM1091047	17	2	YCXGDTM1091047	gnpis.lot:'3023'	91	47	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tVWlFRQg==	Pa405_H	Pa405_H	2013	NA in endpoint				NA					
YCXGDTM1091047	17	2	YCXGDTM1091047	gnpis.lot:'3023'	91	47	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tVWlFRQg==	Pa405_H	Pa405_H	2013	NA in endpoint						10.1329044118			
YCXGDTM1091047	17	2	YCXGDTM1091047	gnpis.lot:'3023'	91	47	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tVWlFRQg==	Pa405_H	Pa405_H	2013	NA in endpoint									300
YCXGDTM1091047	17	2	YCXGDTM1091047	gnpis.lot:'3023'	91	47	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tVWlFRQg==	Pa405_H	Pa405_H	2013	NA in endpoint								340	
YCXGDTM1091047	17	2	YCXGDTM1091047	gnpis.lot:'3023'	91	47	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tVWlFRQg==	Pa405_H	Pa405_H	2013	NA in endpoint			145						
YCXGDTM1059025	36	3	YCXGDTM1059025	gnpis.lot:'3126'	59	25	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RZU0ZTSQ==	EZ31_H	EZ31_H	2013	NA in endpoint					2019.0108633505				
YCXGDTM1059025	36	3	YCXGDTM1059025	gnpis.lot:'3126'	59	25	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RZU0ZTSQ==	EZ31_H	EZ31_H	2013	NA in endpoint							278.4682352941		
YCXGDTM1059025	36	3	YCXGDTM1059025	gnpis.lot:'3126'	59	25	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RZU0ZTSQ==	EZ31_H	EZ31_H	2013	NA in endpoint		70,752276834							
YCXGDTM1059025	36	3	YCXGDTM1059025	gnpis.lot:'3126'	59	25	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RZU0ZTSQ==	EZ31_H	EZ31_H	2013	NA in endpoint				74,9225179234					
YCXGDTM1059025	36	3	YCXGDTM1059025	gnpis.lot:'3126'	59	25	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RZU0ZTSQ==	EZ31_H	EZ31_H	2013	NA in endpoint						5.6223039216			
YCXGDTM1059025	36	3	YCXGDTM1059025	gnpis.lot:'3126'	59	25	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RZU0ZTSQ==	EZ31_H	EZ31_H	2013	NA in endpoint									185
YCXGDTM1059025	36	3	YCXGDTM1059025	gnpis.lot:'3126'	59	25	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RZU0ZTSQ==	EZ31_H	EZ31_H	2013	NA in endpoint								220	
YCXGDTM1059025	36	3	YCXGDTM1059025	gnpis.lot:'3126'	59	25	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RZU0ZTSQ==	EZ31_H	EZ31_H	2013	NA in endpoint			105						
YCXGDTM1059025	36	3	YCXGDTM1059025	gnpis.lot:'3126'	59	25	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RZU0ZTSQ==	EZ31_H	EZ31_H	2013	NA in endpoint	-4,17024108940								
YCXGDTM1070044	12	1	YCXGDTM1070044	gnpis.lot:'3033'	70	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1YyR1VaOA==	EC232_H	EC232_H	2013	NA in endpoint					2838.6050283861				
YCXGDTM1070044	12	1	YCXGDTM1070044	gnpis.lot:'3033'	70	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1YyR1VaOA==	EC232_H	EC232_H	2013	NA in endpoint							292.2935294118		
YCXGDTM1070044	12	1	YCXGDTM1070044	gnpis.lot:'3033'	70	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1YyR1VaOA==	EC232_H	EC232_H	2013	NA in endpoint		NA							
YCXGDTM1070044	12	1	YCXGDTM1070044	gnpis.lot:'3033'	70	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1YyR1VaOA==	EC232_H	EC232_H	2013	NA in endpoint				NA					
YCXGDTM1070044	12	1	YCXGDTM1070044	gnpis.lot:'3033'	70	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1YyR1VaOA==	EC232_H	EC232_H	2013	NA in endpoint						8.2970588235			
YCXGDTM1070044	12	1	YCXGDTM1070044	gnpis.lot:'3033'	70	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1YyR1VaOA==	EC232_H	EC232_H	2013	NA in endpoint									290
YCXGDTM1070044	12	1	YCXGDTM1070044	gnpis.lot:'3033'	70	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1YyR1VaOA==	EC232_H	EC232_H	2013	NA in endpoint								335	
YCXGDTM1070044	12	1	YCXGDTM1070044	gnpis.lot:'3033'	70	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1YyR1VaOA==	EC232_H	EC232_H	2013	NA in endpoint			120						
YCXGDTM1064046	15	1	YCXGDTM1064046	gnpis.lot:'3099'	64	46	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJEMDVFVg==	NC358_H	NC358_H	2013	NA in endpoint					3488.9962426194				
