observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
WD1149	32	1	WD1149	gnpis.lot:'3236'	8	20	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NYQVNUSA==	UH_2500_H	UH_2500_H	2013	NA in endpoint					1580.2086646927				
WD1149	32	1	WD1149	gnpis.lot:'3236'	8	20	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NYQVNUSA==	UH_2500_H	UH_2500_H	2013	NA in endpoint							234.5477270588		
WD1149	32	1	WD1149	gnpis.lot:'3236'	8	20	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NYQVNUSA==	UH_2500_H	UH_2500_H	2013	NA in endpoint		71,3157238594							
WD1149	32	1	WD1149	gnpis.lot:'3236'	8	20	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NYQVNUSA==	UH_2500_H	UH_2500_H	2013	NA in endpoint				72,8469300201					
WD1149	32	1	WD1149	gnpis.lot:'3236'	8	20	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NYQVNUSA==	UH_2500_H	UH_2500_H	2013	NA in endpoint						3.7063435058			
WD1149	32	1	WD1149	gnpis.lot:'3236'	8	20	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NYQVNUSA==	UH_2500_H	UH_2500_H	2013	NA in endpoint									202
WD1149	32	1	WD1149	gnpis.lot:'3236'	8	20	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NYQVNUSA==	UH_2500_H	UH_2500_H	2013	NA in endpoint								246	
WD1149	32	1	WD1149	gnpis.lot:'3236'	8	20	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NYQVNUSA==	UH_2500_H	UH_2500_H	2013	NA in endpoint			107						
WD1149	32	1	WD1149	gnpis.lot:'3236'	8	20	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NYQVNUSA==	UH_2500_H	UH_2500_H	2013	NA in endpoint	-1,53120616070								
WD3022	26	3	WD3022	gnpis.lot:'3196'	26	21	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pQUU1JRA==	Lo1251_H	Lo1251_H	2013	NA in endpoint					2492.77018787				
WD3022	26	3	WD3022	gnpis.lot:'3196'	26	21	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pQUU1JRA==	Lo1251_H	Lo1251_H	2013	NA in endpoint							221.4406905882		
WD3022	26	3	WD3022	gnpis.lot:'3196'	26	21	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pQUU1JRA==	Lo1251_H	Lo1251_H	2013	NA in endpoint		79,3596071495							
WD3022	26	3	WD3022	gnpis.lot:'3196'	26	21	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pQUU1JRA==	Lo1251_H	Lo1251_H	2013	NA in endpoint				80,8445197044					
WD3022	26	3	WD3022	gnpis.lot:'3196'	26	21	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pQUU1JRA==	Lo1251_H	Lo1251_H	2013	NA in endpoint						5.5200075188			
WD3022	26	3	WD3022	gnpis.lot:'3196'	26	21	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pQUU1JRA==	Lo1251_H	Lo1251_H	2013	NA in endpoint									194
WD3022	26	3	WD3022	gnpis.lot:'3196'	26	21	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pQUU1JRA==	Lo1251_H	Lo1251_H	2013	NA in endpoint								240	
WD3022	26	3	WD3022	gnpis.lot:'3196'	26	21	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pQUU1JRA==	Lo1251_H	Lo1251_H	2013	NA in endpoint			110						
WD3022	26	3	WD3022	gnpis.lot:'3196'	26	21	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pQUU1JRA==	Lo1251_H	Lo1251_H	2013	NA in endpoint	-1,48491255490								
WD1164	8	1	WD1164	gnpis.lot:'3005'	8	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lMRUFRRw==	Oh33_H	Oh33_H	2013	NA in endpoint					2961.9425480736				
WD1164	8	1	WD1164	gnpis.lot:'3005'	8	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lMRUFRRw==	Oh33_H	Oh33_H	2013	NA in endpoint							233.6649035294		
WD1164	8	1	WD1164	gnpis.lot:'3005'	8	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lMRUFRRw==	Oh33_H	Oh33_H	2013	NA in endpoint		72,8469300201							
