Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]	Factor Value[water_regime]
B107_H	NCBITAXON:4577	Zea	mays	var. B107	B107_H	https://doi.org/10.15454/XH5MEH	Growth	115	replicate>block>plot	X:5;Y:10;plot:115	watered
B107_H	NCBITAXON:4577	Zea	mays	var. B107	B107_H	https://doi.org/10.15454/XH5MEH	Growth	3053water_regimewatered	virtual_trial		watered
B107_H	NCBITAXON:4577	Zea	mays	var. B107	B107_H	https://doi.org/10.15454/XH5MEH	Growth	569	replicate>block>plot	X:10;Y:6;plot:569	rainfed
B107_H	NCBITAXON:4577	Zea	mays	var. B107	B107_H	https://doi.org/10.15454/XH5MEH	Growth	284	replicate>block>plot	X:17;Y:4;plot:284	watered
B107_H	NCBITAXON:4577	Zea	mays	var. B107	B107_H	https://doi.org/10.15454/XH5MEH	Growth	3053water_regimerainfed	virtual_trial		rainfed
B107_H	NCBITAXON:4577	Zea	mays	var. B107	B107_H	https://doi.org/10.15454/XH5MEH	Growth	993	replicate>block>plot	X:22;Y:16;plot:993	rainfed
B107_H	NCBITAXON:4577	Zea	mays	var. B107	B107_H	https://doi.org/10.15454/XH5MEH	Growth	1096	replicate>block>plot	X:13;Y:25;plot:1096	rainfed
B108_H	NCBITAXON:4577	Zea	mays	var. B108	B108_H	https://doi.org/10.15454/21XOCO	Growth	1153	replicate>block>plot	X:3;Y:33;plot:1153	rainfed
B108_H	NCBITAXON:4577	Zea	mays	var. B108	B108_H	https://doi.org/10.15454/21XOCO	Growth	503	replicate>block>plot	X:24;Y:16;plot:503	watered
B108_H	NCBITAXON:4577	Zea	mays	var. B108	B108_H	https://doi.org/10.15454/21XOCO	Growth	1008	replicate>block>plot	X:24;Y:15;plot:1008	rainfed
B108_H	NCBITAXON:4577	Zea	mays	var. B108	B108_H	https://doi.org/10.15454/21XOCO	Growth	90	replicate>block>plot	X:1;Y:13;plot:90	watered
B108_H	NCBITAXON:4577	Zea	mays	var. B108	B108_H	https://doi.org/10.15454/21XOCO	Growth	3074water_regimewatered	virtual_trial		watered
B108_H	NCBITAXON:4577	Zea	mays	var. B108	B108_H	https://doi.org/10.15454/21XOCO	Growth	3074water_regimerainfed	virtual_trial		rainfed
B108_H	NCBITAXON:4577	Zea	mays	var. B108	B108_H	https://doi.org/10.15454/21XOCO	Growth	693	replicate>block>plot	X:3;Y:21;plot:693	rainfed
B109_H	NCBITAXON:4577	Zea	mays	var. B109	B109_H	https://doi.org/10.15454/X4VLZJ	Growth	1260	replicate>block>plot	X:18;Y:29;plot:1260	rainfed
